Type,Occupation,All_workers,All_weekly,M_workers,M_weekly,F_workers,F_weekly
HEALTHCARE,Registered nurses,2382,1116,278,1222,2104,1098
HEALTHCARE,Clinical laboratory technologists and technicians,270,901,69,1089,201,796
HEALTHCARE,Diagnostic related technologists and technicians,253,964,76,1106,177,908
HEALTHCARE,Health practitioner support technologists and technicians,487,636,99,652,389,633
HEALTHCARE,"Nursing, psychiatric, and home health aides",1400,467,163,526,1237,457
PROTECTIVE SERVICE,"Bailiffs, correctional officers, and jailers",453,754,341,779,112,686
PROTECTIVE SERVICE,Police and sheriff's patrol officers,655,1002,569,1001,86,1009
PROTECTIVE SERVICE,Security guards and gaming surveillance officers,708,567,555,592,153,515
CULINARY,Chefs and head cooks,340,619,285,656,55,492
CULINARY,First-line supervisors of food preparation and serving workers,378,498,156,621,222,458
CULINARY,Cooks,1302,416,808,427,494,400
CULINARY,Food preparation workers,366,402,174,414,192,388
CULINARY,Bartenders,252,521,110,569,142,493
CULINARY,"Combined food preparation and serving workers, including fast food",173,391,67,401,107,380
CULINARY,Waiters and waitresses,868,451,305,501,563,411
GROUNDSKEEPING,First-line supervisors of housekeeping and janitorial workers,172,620,108,700,64,571
GROUNDSKEEPING,Janitors and building cleaners,1536,507,1111,547,425,429
GROUNDSKEEPING,Maids and housekeeping cleaners,876,416,134,475,742,407
SERVICE,First-line supervisors of gaming workers,117,769,65,900,52,680
SERVICE,Personal care aides,680,462,128,537,552,441
SERVICE,Recreation and fitness workers,185,555,78,684,107,526
SALES,First-line supervisors of retail sales workers,2326,711,1296,825,1030,614
SALES,First-line supervisors of non-retail sales workers,835,1028,556,1140,280,896
SALES,Cashiers,1342,415,411,471,931,405
SALES,Retail salespersons,1918,590,1159,694,759,494
SALES,Advertising sales agents,161,925,78,1155,83,729
SALES,Insurance sales agents,427,815,194,1028,232,717
SALES,"Securities, commodities, and financial services sales agents",211,1155,146,1461,65,767
SALES,"Sales representatives, services, all other",406,966,268,1147,139,699
SALES,"Sales representatives, wholesale and manufacturing",1138,1020,843,1066,295,917
SALES,Real estate brokers and sales agents,463,837,197,1052,266,735
SALES,"Sales and related workers, all other",158,916,89,1088,70,727
OFFICE,First-line supervisors of office and administrative support workers,1297,812,434,878,863,781
OFFICE,Bill and account collectors,152,657,54,674,98,648
OFFICE,"Bookkeeping, accounting, and auditing clerks",769,692,87,690,682,692
OFFICE,Customer service representatives,1760,621,611,690,1149,604
OFFICE,"Hotel, motel, and resort desk clerks",127,481,58,486,69,467
OFFICE,Receptionists and information clerks,852,575,72,619,781,569
OFFICE,Dispatchers,250,698,109,759,141,655
OFFICE,Postal service clerks,127,927,76,974,51,833
OFFICE,Postal service mail carriers,302,954,187,1021,115,854
OFFICE,"Production, planning, and expediting clerks",256,838,116,978,141,732
OFFICE,"Shipping, receiving, and traffic clerks",502,591,354,604,148,566
OFFICE,Stock clerks and order fillers,1027,520,651,537,376,506
OFFICE,Secretaries and administrative assistants,2223,687,124,786,2099,683
OFFICE,Data entry keyers,223,619,55,589,169,638
OFFICE,Insurance claims and policy processing clerks,259,689,56,762,203,675
OFFICE,"Office clerks, general",929,620,156,609,773,622
OFFICE,"Office and administrative support workers, all other",391,745,93,852,298,718
AGRICULTURAL,farmers,613,445,511,460,102,398
PRODUCTION,First-line supervisors of production and operating workers,783,875,650,924,133,623
PRODUCTION,"Electrical, electronics, and electromechanical assemblers",123,554,59,566,64,544
PRODUCTION,Miscellaneous assemblers and fabricators,950,581,573,637,377,512
PRODUCTION,Bakers,150,505,69,570,80,475
PRODUCTION,"Butchers and other meat, poultry, and fish processing workers",247,542,187,582,60,463
PRODUCTION,"Food processing workers, all other",132,594,82,679,50,508
PRODUCTION,"Metal workers and plastic workers, all other",351,639,278,678,72,581
PRODUCTION,Laundry and dry-cleaning workers,133,466,53,487,80,460
PRODUCTION,"Inspectors, testers, sorters, samplers, and weighers",701,710,440,844,260,583
PRODUCTION,Packaging and filling machine operators and tenders,239,518,118,605,120,482
PRODUCTION,"Production workers, all other",846,625,643,666,203,501
TRANSPORTATION,Bus drivers,323,615,184,681,138,572
TRANSPORTATION,Driver/sales workers and truck drivers,2687,747,2582,751,105,632
TRANSPORTATION,"Laborers and freight, stock, and material movers, hand",1433,526,1214,547,219,455
TRANSPORTATION,"Packers and packagers, hand",385,438,158,462,227,424
