Type,Occupation,All_workers,All_weekly,M_workers,M_weekly,F_workers,F_weekly
MAINTENANCE,"Coin, vending, and amusement machine servicers and repairers",38,Na,34,Na,4,0
MAINTENANCE,Commercial divers,1,Na,1,Na,0,0
MAINTENANCE,Locksmiths and safe repairers,12,Na,12,Na,0,0
MAINTENANCE,Manufactured building and mobile home installers,4,Na,4,Na,1,0
MAINTENANCE,Riggers,7,Na,7,Na,0,0
MAINTENANCE,Signal and track switch repairers,9,Na,9,Na,0,0
MAINTENANCE,"Helpers--installation, maintenance, and repair workers",17,Na,17,Na,0,0
MAINTENANCE,"Other installation, maintenance, and repair workers",150,792,144,810,6,0
PRODUCTION,First-line supervisors of production and operating workers,783,875,650,924,133,623
PRODUCTION,"Aircraft structure, surfaces, rigging, and systems assemblers",15,Na,11,Na,4,0
PRODUCTION,"Electrical, electronics, and electromechanical assemblers",123,554,59,566,64,544
PRODUCTION,Engine and other machine assemblers,14,Na,12,Na,2,0
PRODUCTION,Structural metal fabricators and fitters,31,Na,28,Na,3,0
PRODUCTION,Miscellaneous assemblers and fabricators,950,581,573,637,377,512
PRODUCTION,Bakers,150,505,69,570,80,475
PRODUCTION,"Butchers and other meat, poultry, and fish processing workers",247,542,187,582,60,463
PRODUCTION,Food batchmakers,79,500,25,Na,54,489
PRODUCTION,Food cooking machine operators and tenders,7,Na,5,Na,2,0
PRODUCTION,"Food processing workers, all other",132,594,82,679,50,508
PRODUCTION,Computer control programmers and operators,83,833,81,857,2,0
PRODUCTION,"Forging machine setters, operators, and tenders, metal and plastic",6,Na,6,Na,0,0
PRODUCTION,"Rolling machine setters, operators, and tenders, metal and plastic",15,Na,12,Na,3,0
PRODUCTION,Machinists,338,834,320,840,17,0
PRODUCTION,"Metal furnace operators, tenders, pourers, and casters",29,Na,28,Na,1,0
PRODUCTION,"Model makers and patternmakers, metal and plastic",6,Na,3,Na,3,0
PRODUCTION,"Multiple machine tool setters, operators, and tenders, metal and plastic",1,Na,1,Na,0,0
PRODUCTION,Tool and die makers,49,Na,49,Na,0,0
PRODUCTION,"Welding, soldering, and brazing workers",568,760,545,767,23,0
PRODUCTION,"Heat treating equipment setters, operators, and tenders, metal and plastic",4,Na,4,Na,0,0
PRODUCTION,"Layout workers, metal and plastic",4,Na,4,Na,1,0
PRODUCTION,"Plating and coating machine setters, operators, and tenders, metal and plastic",24,Na,24,Na,0,0
PRODUCTION,"Tool grinders, filers, and sharpeners",7,Na,7,Na,0,0
PRODUCTION,"Metal workers and plastic workers, all other",351,639,278,678,72,581
PRODUCTION,Prepress technicians and workers,14,Na,12,Na,2,0
PRODUCTION,Printing press operators,160,707,134,729,26,0
PRODUCTION,Print binding and finishing workers,16,Na,9,Na,6,0
PRODUCTION,Laundry and dry-cleaning workers,133,466,53,487,80,460
PRODUCTION,"Pressers, textile, garment, and related materials",21,Na,9,Na,12,0
PRODUCTION,Sewing machine operators,147,493,42,Na,105,476
PRODUCTION,Shoe and leather workers and repairers,5,Na,4,Na,1,0
PRODUCTION,Shoe machine operators and tenders,1,Na,0,Na,1,0
PRODUCTION,"Tailors, dressmakers, and sewers",37,Na,9,Na,27,0
PRODUCTION,Textile bleaching and dyeing machine operators and tenders,2,Na,2,Na,0,0
PRODUCTION,"Textile cutting machine setters, operators, and tenders",9,Na,7,Na,2,0
PRODUCTION,"Textile knitting and weaving machine setters, operators, and tenders",8,Na,3,Na,4,0
PRODUCTION,Fabric and apparel patternmakers,4,Na,3,Na,1,0
PRODUCTION,Upholsterers,29,Na,21,Na,7,0
PRODUCTION,"Textile, apparel, and furnishings workers, all other",16,Na,12,Na,4,0
PRODUCTION,Cabinetmakers and bench carpenters,40,Na,38,Na,2,0
PRODUCTION,Furniture finishers,6,Na,6,Na,0,0
PRODUCTION,"Model makers and patternmakers, wood",0,Na,0,Na,0,0
PRODUCTION,"Sawing machine setters, operators, and tenders, wood",26,Na,22,Na,4,0
PRODUCTION,"Woodworking machine setters, operators, and tenders, except sawing",23,Na,21,Na,1,0
PRODUCTION,"Woodworkers, all other",17,Na,14,Na,3,0
PRODUCTION,"Power plant operators, distributors, and dispatchers",35,Na,34,Na,1,0
PRODUCTION,Stationary engineers and boiler operators,84,996,81,1012,3,0
PRODUCTION,Water and wastewater treatment plant and system operators,82,880,79,868,3,0
PRODUCTION,Miscellaneous plant and system operators,35,Na,33,Na,3,0
PRODUCTION,"Chemical processing machine setters, operators, and tenders",62,1052,57,1082,5,0
PRODUCTION,"Crushing, grinding, polishing, mixing, and blending workers",82,652,75,668,7,0
PRODUCTION,Cutting workers,51,685,41,Na,9,0
PRODUCTION,"Furnace, kiln, oven, drier, and kettle operators and tenders",6,Na,5,Na,0,0
PRODUCTION,"Inspectors, testers, sorters, samplers, and weighers",701,710,440,844,260,583
PRODUCTION,Jewelers and precious stone and metal workers,19,Na,11,Na,7,0
PRODUCTION,"Medical, dental, and ophthalmic laboratory technicians",86,648,44,Na,42,0
PRODUCTION,Packaging and filling machine operators and tenders,239,518,118,605,120,482
PRODUCTION,Painting workers,129,708,110,733,18,0
PRODUCTION,Photographic process workers and processing machine operators,26,Na,12,Na,14,0
PRODUCTION,Semiconductor processors,1,Na,1,Na,0,0
PRODUCTION,Adhesive bonding machine operators and tenders,9,Na,5,Na,4,0
PRODUCTION,"Cleaning, washing, and metal pickling equipment operators and tenders",4,Na,2,Na,1,0
PRODUCTION,Cooling and freezing equipment operators and tenders,4,Na,3,Na,0,0
PRODUCTION,Etchers and engravers,12,Na,8,Na,4,0
PRODUCTION,"Molders, shapers, and casters, except metal and plastic",14,Na,12,Na,2,0
PRODUCTION,"Paper goods machine setters, operators, and tenders",27,Na,22,Na,5,0
PRODUCTION,Tire builders,8,Na,8,Na,0,0
PRODUCTION,Helpers--production workers,24,Na,18,Na,7,0
PRODUCTION,"Production workers, all other",846,625,643,666,203,501
TRANSPORTATION,Supervisors of transportation and material moving workers,186,894,153,898,33,0
TRANSPORTATION,Aircraft pilots and flight engineers,114,1735,104,1830,9,0
TRANSPORTATION,Air traffic controllers and airfield operations specialists,32,Na,24,Na,8,0
TRANSPORTATION,Flight attendants,63,846,20,Na,43,0
TRANSPORTATION,"Ambulance drivers and attendants, except emergency medical technicians",18,Na,14,Na,4,0
TRANSPORTATION,Bus drivers,323,615,184,681,138,572
TRANSPORTATION,Driver/sales workers and truck drivers,2687,747,2582,751,105,632
TRANSPORTATION,Taxi drivers and chauffeurs,253,585,216,600,38,0
TRANSPORTATION,"Motor vehicle operators, all other",21,Na,18,Na,3,0
TRANSPORTATION,Locomotive engineers and operators,44,Na,42,Na,2,0
TRANSPORTATION,"Railroad brake, signal, and switch operators",5,Na,5,Na,0,0
TRANSPORTATION,Railroad conductors and yardmasters,55,1117,52,1137,4,0
TRANSPORTATION,"Subway, streetcar, and other rail transportation workers",15,Na,12,Na,3,0
TRANSPORTATION,Sailors and marine oilers,10,Na,9,Na,0,0
TRANSPORTATION,Ship and boat captains and operators,29,Na,28,Na,1,0
TRANSPORTATION,Ship engineers,5,Na,4,Na,1,0
TRANSPORTATION,Bridge and lock tenders,4,Na,4,Na,0,0
TRANSPORTATION,Parking lot attendants,57,492,49,Na,8,0
TRANSPORTATION,Automotive and watercraft service attendants,63,452,58,470,5,0
TRANSPORTATION,Transportation inspectors,21,Na,14,Na,7,0
TRANSPORTATION,"Transportation attendants, except flight attendants",17,Na,9,Na,8,0
TRANSPORTATION,Other transportation workers,39,Na,35,Na,4,0
TRANSPORTATION,Conveyor operators and tenders,7,Na,7,Na,0,0
TRANSPORTATION,Crane and tower operators,75,988,71,1016,4,0
TRANSPORTATION,"Dredge, excavating, and loading machine operators",25,Na,25,Na,0,0
TRANSPORTATION,Hoist and winch operators,5,Na,5,Na,0,0
TRANSPORTATION,Industrial truck and tractor operators,579,609,541,612,37,0
TRANSPORTATION,Cleaners of vehicles and equipment,222,485,200,498,22,0
TRANSPORTATION,"Laborers and freight, stock, and material movers, hand",1433,526,1214,547,219,455
TRANSPORTATION,Machine feeders and offbearers,30,Na,21,Na,9,0
TRANSPORTATION,"Packers and packagers, hand",385,438,158,462,227,424
TRANSPORTATION,Pumping station operators,18,Na,17,Na,1,0
TRANSPORTATION,Refuse and recyclable material collectors,72,501,66,496,6,0
TRANSPORTATION,Mine shuttle car operators,0,Na,0,Na,0,0
TRANSPORTATION,"Tank car, truck, and ship loaders",6,Na,6,Na,0,0
TRANSPORTATION,"Material moving workers, all other",37,Na,32,Na,5,0
